customer_id,full_name,gender,date_of_birth,city,occupation,income_band,join_date
1,Champak Garg,Male,2014-01-01 00:00:00,DELHI,Business Owner,Upper-Middle,2024-08-17
2,Onveer Warrior,Female,2014-01-01 00:00:00,Chennai,Government Employee,Low,2023-03-20
3,Urvashi Chokshi,Male,2014-01-01 00:00:00,Hyderabad,Banker,Low,2021-11-22
4,Chandani Bera,Male,2014-01-01 00:00:00,DELHI,Engineer,Low,2023-01-31
5,Urishilla Ramachandran,Male,2014-01-01 00:00:00,Bangalore,Doctor,Upper-Middle,2025-06-16
6,Darsh Bajwa,Female,2014-01-01 00:00:00,Mumbai,Government Employee,Middle,2025-09-27
7,Aayush Balakrishnan,Male,2014-01-01 00:00:00,Ahmedabad,Engineer,Middle,2023-02-05
8,Hemang Banerjee,Male,2014-01-01 00:00:00,mumbai,ENGINEER,Low,2025-09-13
9,Arunima Kade,Male,2014-01-01 00:00:00,Ahmedabad,Lawyer,Middle,2026-05-09
10,Abeer Nagar,Female,2014-01-01 00:00:00,mumbai,Banker,Middle,2021-08-07
11,Adweta Ratti,Male,2014-01-01 00:00:00,Hyderabad,engineer,Middle,2024-10-23
12,Ucchal Dey,Male,1920-01-01 00:00:00,Ahmedabad,Business Owner,Middle,2026-05-19
13,Kala Nori,Male,1920-01-01 00:00:00,mumbai,Government Employee,Middle,2022-07-02
14,Isaac Kala,Male,1920-01-01 00:00:00,Ahmedabad,Lawyer,Middle,2024-04-21
15,Ria Panchal,Female,1920-01-01 00:00:00,DELHI,Doctor,Middle,2021-09-20
16,Turvi Tailor,Male,1920-01-01 00:00:00,Kolkata,Teacher,Low,2026-06-11
17,Ladli Narayan,Female,1920-01-01 00:00:00,mumbai,Consultant,Middle,2021-09-28
18,Maanas Mukherjee,Female,1920-01-01 00:00:00,Hyderabad,Banker,Middle,2023-08-14
19,Xavier Desai,Female,1920-01-01 00:00:00,mumbai,ENGINEER,Middle,2024-08-04
20,Leena Arora,Male,1920-01-01 00:00:00,mumbai,engineer,Middle,2025-06-22
21,Ekani Dhillon,Female,1920-01-01 00:00:00,Pune,Doctor,Upper-Middle,2022-04-05
22,Raksha Muni,Male,1963-06-03,DELHI,Consultant,Upper-Middle,2025-09-07
23,Maanas Zacharia,Female,1986-05-26,Chandigarh,,Middle,2021-12-27
24,Rachit Barman,Female,1960-09-24,Bangalore,ENGINEER,Upper-Middle,2024-02-05
25,Laban Dutt,Female,1981-08-16,Delhi,,Low,2026-05-28
26,Kevin Shankar,Female,1983-05-09,Kolkata,Teacher,Upper-Middle,2025-08-30
27,Max Lata,Female,1984-03-17,mumbai,Engineer,Middle,2023-06-20
28,Vivaan Devan,Female,1959-10-15,Chennai,Teacher,Middle,2022-11-27
29,Nathaniel Shah,Female,1980-06-21,mumbai,Government Employee,Low,2024-05-04
30,Vedika Nori,Female,2005-03-23,Pune,Banker,Low,2022-10-29
31,Reva Boase,Male,1986-12-12,Ahmedabad,engineer,Low,2023-05-04
32,Dhruv Memon,Male,1997-02-09,Bangalore,Accountant,Low,2024-09-04
33,Laksh Ray,Female,1970-11-23,Chennai,Student,Low,2026-01-20
34,Nicholas Prabhakar,Female,1984-11-28,Kolkata,Business Owner,Upper-Middle,2023-03-26
35,Yasti Salvi,Female,1961-07-30,Chennai,Business Owner,Low,2026-06-13
36,Dalbir Bora,Male,1996-08-06,Chandigarh,Engineer,Middle,2021-08-03
37,Amol Lad,Female,2000-09-08,DELHI,Doctor,Upper-Middle,2021-08-04
38,Aadi Sangha,Male,1997-09-13,Hyderabad,engineer,Low,2022-05-27
39,Divya Murty,Male,1981-04-17,Hyderabad,Accountant,Upper-Middle,2022-07-01
40,Qasim Karpe,Male,2001-07-08,Kolkata,Engineer,Middle,2024-04-21
41,Samaksh Verma,Male,1964-08-22,Jaipur,Student,Middle,2021-10-07
42,Naveen Lall,Male,1961-07-29,Bangalore,Government Employee,Low,2022-12-20
43,Reyansh Issac,Female,1999-11-12,Jaipur,Government Employee,Low,2025-01-18
44,Anusha Bahl,Female,1978-12-23,Hyderabad,Banker,Middle,2024-01-09
45,Priya Raghavan,Female,2007-12-13,delhi,Accountant,Low,2024-09-01
46,Siddharth Babu,Female,1956-09-14,Pune,Accountant,Low,2024-05-07
47,Anya Deep,Female,1999-04-05,Kolkata,Accountant,Low,2024-10-22
48,Vyanjana Manne,Male,1975-12-20,Kolkata,Teacher,Middle,2023-02-02
49,Ekalinga Oza,Female,1996-03-06,Delhi,,Low,2025-08-14
50,Saanvi Aurora,Female,1982-10-13,Delhi,Consultant,Upper-Middle,2025-01-26
51,Indrajit Wadhwa,Male,1994-10-07,DELHI,Business Owner,Low,2025-06-08
52,Anjali Batta,Female,1986-04-17,DELHI,,Upper-Middle,2023-12-25
53,Dalbir Sem,Male,1978-04-17,Delhi,Lawyer,Low,2024-04-07
54,Leena Chauhan,Female,1979-11-28,Jaipur,engineer,Upper-Middle,2022-12-20
55,Tanveer Kapoor,Male,1987-06-29,Hyderabad,Lawyer,Middle,2023-06-15
56,Baljiwan Verma,Female,1967-12-21,Mumbai,Teacher,Middle,2025-09-26
57,Simon Ramachandran,Female,1962-03-07,Kolkata,Doctor,Low,2022-08-12
58,Hema Pandit,Male,1961-09-12,Chandigarh,Government Employee,Middle,2024-05-12
59,Lucky Gala,Male,2006-01-07,delhi,Business Owner,Low,2024-07-31
60,Naveen Nagy,Male,1987-07-26,Kolkata,Accountant,Middle,2022-09-20
